InputID,TargetID,Distance
P.S. 100 ISAAC CLASON,SOUNDVIEW LIBRARY,1090.63269307
M.S. X101 EDWARD R. BYRNE,THROG'S NECK LIBRARY,3386.91999061
P.S. 102 JOSEPH O. LORETAN,PARKCHESTER LIBRARY,2547.03644367
P.S. 103 HECTOR FONTANEZ,WAKEFIELD LIBRARY,668.047710207
P.S. 105 SEN ABRAHAM BERNSTEIN,VAN NEST LIBRARY,1132.33677856
P.S. 106 PARKCHESTER,PARKCHESTER LIBRARY,1692.47077026
P.S. 107,SOUNDVIEW LIBRARY,1512.83242279
P.S. 108 PHILIP J. ABINANTI,MORRIS PARK LIBRARY,2642.25992363
P.S. 109 SEDGWICK,SEDGWICK LIBRARY,754.288471938
P.S. 110 THEODORE SCHOENFELD,MORRISANIA LIBRARY,1491.21875885
P.S. 111 SETON FALLS,EDENWALD LIBRARY,1260.30937889
P.S. 112 BRONXWOOD,EDENWALD LIBRARY,1654.21013187
P.S. X114 - LUIS LLORENS TORRES SCHOOLS,HIGH BRIDGE LIBRARY,1172.1535901
I.S. 117 JOSEPH H. WADE,GRAND CONCOURSE LIBRARY,1702.80134818
J.H.S. 118 WILLIAM W. NILES,TREMONT LIBRARY,1680.19718008
P.S. 119,CASTLE HILL LIBRARY,1899.68096813
P.S. 121 THROOP,EASTCHESTER LIBRARY,2208.96741027
J.H.S. 123 JAMES M. KIERAN,CLASON'S POINT LIBRARY,1709.97007811
J.H.S. 125 HENRY HUDSON,PARKCHESTER LIBRARY,1709.12676545
P.S. 126 DR MARJORIE H DUNBAR,HIGH BRIDGE LIBRARY,1540.29945794
J.H.S. 127 THE CASTLE HILL,PARKCHESTER LIBRARY,2094.27639325
MOTT HALL III,MORRISANIA LIBRARY,2062.58942007
P.S. 129 TWIN PARKS UPPER,WEST FARMS LIBRARY,955.644738625
P.S. 130 ABRAM STEVENS HEWITT,WOODSTOCK LIBRARY,1239.68274126
J.H.S. 131 ALBERT EINSTEIN,SOUNDVIEW LIBRARY,1968.16009041
P.S. 132 GARRET A. MORGAN,MORRISANIA LIBRARY,1331.41226529
P.S. 134 GEORGE F. BRISTOW,MORRISANIA LIBRARY,1939.89381685
P.S. 138 SAMUEL RANDALL,CASTLE HILL LIBRARY,1693.66659613
P.S. 140 EAGLE,WOODSTOCK LIBRARY,1315.8416323
RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / H,SPUYTEN DUYVIL LIBRARY,816.310872771
J.H.S. 142 JOHN PHILIP SOUSA,EDENWALD LIBRARY,1220.06291562
J.H.S. 144 MICHELANGELO,BAYCHESTER LIBRARY,3119.73747466
J.H.S. 145 ARTURO TOSCANINNI,MELROSE LIBRARY,1016.5796281
P.S. 146 EDWARD COLLINS,WOODSTOCK LIBRARY,1603.85912336
P.S. 150 CHARLES JAMES FOX,MORRISANIA LIBRARY,2716.63812518
J.H.S. 151 LOU GEHRIG,MELROSE LIBRARY,1658.22785733
P.S. 152 EVERGREEN,CLASON'S POINT LIBRARY,2567.96316357
P.S. 153 HELLEN KELLER,BAYCHESTER LIBRARY,1721.96078115
P.S. 154 JONATHAN D. HYATT,MOTT HAVEN LIBRARY,1401.0852954
P.S. 157 GROVE HILL,WOODSTOCK LIBRARY,1209.80255442
P.S. 159 LUIS MUNOZ MARIN BILING,BELMONT LIBRARY,1440.72367855
P.S. 160 WALT DISNEY,BAYCHESTER LIBRARY,2427.64021588
P.S. 161 PONCE DE LEON,WOODSTOCK LIBRARY,2118.54685734
J.H.S. 162 LOLA RODRIGUEZ DE TIO,WOODSTOCK LIBRARY,3057.27304315
P.S. 163 ARTHUR A. SCHOMBURG,TREMONT LIBRARY,2059.45252737
